company_name,url,year_founded,full_time_employees,company_category,data_types,description
Aidin,http://www.myAidin.com,2011,1-10,Healthcare,,"Aidin helps hospitals and their patients choose the highest quality post-acute care available to them. By streamlining hospital staff's search process for available post-acute care and tracking and sharing with patients how well providers have performed with similar patients in the past, Aidin helps hospitals reduce length of stay and prevent costly and dangerous readmissions from post-acute care."
Alarm.com,www.alarm.com,2000,201-500,Lifestyle & Consumer,Weather,"Alarm.com is a technology provider of connected home services, powering well over one million residential and commercial installations. Through its connected home platform, millions of people use Alarm.com to help protect and manage the things that matter most – their homes, families, and small businesses. Alarm.com connects a wide range of supported devices across the internet of things to provide an integrated connected home experience through an intelligent cloud-based services platform and easy to use mobile app. Alarm.com solutions are sold exclusively through a network of licensed and authorized Dealer Partners."
Allianz,http://www.allianzusa.com,1896,"10,001+",Finance & Investment,,"Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals."
Allied Van Lines,http://www.allied.com,1928,"5,001-10,000",Transportation,Demographics & Social,"Allied Van Lines is a global relocation company, serving individuals and corporations all over the world for their transportation and storage needs."
AllState Insurance Group,http://www.allstate.com,1931,"10,001+",Insurance,,"The Allstate Corporation is a holding company for Allstate Insurance Company. The company’s business is conducted principally through Allstate Insurance Company, Allstate Life Insurance Company and their affiliates. It is engaged, principally in the United States, in the property-liability insurance, life insurance, retirement and investment product business. 

<p>Allstate's primary business is the sale of private passenger auto and homeowners insurance. The Company also sells several other personal property and casualty insurance products, select commercial property and casualty coverages, life insurance, annuities, voluntary accident and health insurance and funding agreements. Allstate primarily distributes its products through exclusive agencies, financial specialists. Allstate has four business segments: Allstate Protection, Allstate Financial, Discontinued Lines and Coverages and Corporate and Other. The Company is a personal lines insurer in the United States.</p>"
Alltuition,https://www.alltuition.com,2009,1-10,Education,Education,"Alltuition.com makes sure you don’t miss out on financial aid. Based on the colleges where you're applying for aid, we instantly match you to your opportunities and help you maximize your chances for aid."
Altova,http://www.altova.com,1992,51-200,Data/Technology,Finance,"At Altova, our mission is to deliver standards-based, platform-independent software development tools that empower our customers to create, access, edit and transform information resources. Altova is the creator of XMLSpy® and other award-winning XML, SQL, and UML tools."
Amazon Web Services,http://aws.amazon.com,2007,NA,Data/Technology,,"<p>Amazon Web Services offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Amazon Web Services‚Äô (AWS) Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>"
American Red Ball Movers,http://www.redball.com,1919,11-50,Transportation,Demographics & Social,American Red Ball Movers is a major long distance moving company in the US that serves families and businesses.
Amida Technology Solutions,http://amida-tech.com/index.html,2013,1-10,Healthcare,,"Amida develops patient-centered solutions based on the Blue Button personal health record (PHR). The Amida Personal Health Information Exchange solution allows enterprises to offer capabilities that place the patient at the center of their health data. It enables two-way communication between patients and primary care physicians, pharmacies, labs, and specialty care providers. This means that patients, for the first time, will have a coherent view of all their health information."
Analytica,http://www.analytica.net/,2007,11-50,Data/Technology,,"<p>Analytica is a leading-edge consulting and IT firm that provides solutions to managing, analyzing, leveraging and protecting information.  The company supports prominent US Public Sector (Federal, State, and Local agencies) and commercial organizations with innovative, value driven solutions supporting national security, law enforcement, health care, and financial services.</p>

<p>Analytica is an SBA certified HUBZone, small business and it has been recognized each of the past three years as a fast growing and “Top 50” small businesses.</p>"
Apextech LLC,apextechllc.com,2003,11-50,Data/Technology,,"Apextech LLC's mission is to provide clients with effective tools and methods to measure their performance. As your provider of choice, Apextech addresses, analyzes, and evaluates current business processes and systems in order to effectively modify or augment our client’s capabilities. Our solutions are forward-thinking, flexible and scalable."
Appallicious,appallicious.com,2010,11-50,Data/Technology,,"Appallicious (http://www.appallicious.com) is an open data visualization company that creates open data products for government agencies using our proprietary platform. Current products include: Disaster Assessment and Assistance Dashboard (DAAD), Code Enforcement Dashboard (CEAD), Apartment Facts, SF Rec & Park App, Neighborhood Score. The civic start-up has also developed the SkippittTM platform, which enables governments and businesses to generate revenue by leveraging your existing customer base and extending it via mobile. Appallicious is based in San Francisco, CA and is a Silicon Valley Innovation Summit A0250 to Watch Winner."
Aquicore,http://www.aquicore.com/,2010,1-10,Energy,Energy,"Aquicore is an Energy Intelligence Solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties. Aquicore’s platform centralizes critical energy data and provides intuitive and graphical interfaces to streamline management and team collaboration. It's hardware allows for cost-effective and rapid deployment across hundreds of properties in a matter of months regardless of building age, size, or BMS system. Aquicore's platform enables organizations to make timely decisions that improve staff productivity, reduce energy waste, increase tenant satisfaction and meet strategic energy goals."
Archimedes Inc.,http://archimedesmodel.com/,2006,11-50,Healthcare,,"Archimedes is a healthcare modelling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision-making, as well as populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations."
AreaVibes Inc.,http://www.areavibes.com/,2009,1-10,Data/Technology,"Economics, Environment, Public Safety","AreaVibe works to provide you with everything you need to know about every city in the United States. The AreaVibe algorithm assigns a total score (“AreaVibe” in our speak) based on the most important metrics for each city, including: cost of living, crime rates, education, employment, health & safety, housing, weather, transportation, local businesses and even user reviews. The higher the score, the better the city (in our opinion)."
Arpin Van Lines,http://www.arpin.com,1900,201-500,Transportation,,"Arpin Van Lines is a privately owned moving services company, a subsidiary of Arpin Group,  that specializes in U.S. domestic and worldwide moving and storage services, global information storage management services and environmental stewardship through its various subsidiaries."
Arrive Labs,http://home.downloadarrive.com,2011,1-10,Transportation,,"Arrive Labs builds software solutions for urban transit solutions, that currently has created two apps - Arrive and TransitHero. Arrive is a multi-modal urban transit app for San Francisco providing information across all available modalities like train, bus, taxis, SideCar, ZipCar and our friends, Scoot Networks. 

<p>TransitHero, an app for the San Francisco Bay Area, delivers live real-time transit information for BART, MUNI, and AC Transit. It combines live, crowd sourced reports from our community of users, as well as our proprietary data set to give you intelligence on public transit in the city. You can become a TransitHero by reporting anything from a delay to a crowded train, rescuing transit riders from bad transit experiences before they get stuck.</p>"
ASC Partners,http://www.asc-partners.com,2010,1-10,Business & Legal Services,,"ASC Partners offers business financial applications specific to small-to-medium size organizations in various industries. We provide extensive experience in technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions. We design cost-effective plans for customers to achieve ongoing productivity."
Asset4,asset4.com,2003,51-200,Finance & Investment,,"ASSET4 AG provides investment research information on economic, environmental, social, and governance (ESG) aspects of corporate performance. The company provides a database containing ESG information of publicly listed companies, countries, local authorities, state-owned companies, and supranational entities in a Web based architecture. It also provides equity-focused solutions and fixed income solutions for professional investors and corporate executives; extra-financial information for fixed income investments; and carbon data and estimates."
Atlas Van Lines,http://www.atlasvanlines.com,1948,201-500,Transportation,,"Atlas Van Lines is a subsidiary of Atlas World Group, a family of companies headquartered in Evansville, Indiana. Atlas serves markets for global relocation, benefits, recruiting, logistics and travel, through a network of more than 500 Atlas Agents in the United States and Canada, and service partners operating in 140 countries around the world. A commitment to integrity, quality and solutions still guides the company, just as Atlas Agent-owners still set the policies that further service excellence."
AtSite,www.atsiteinc.com,1993,51-200,Research & Consulting,Energy,"AtSite's open-source technology and building performance solutions help organizations maximize the strategic value and long-term performance of real estate assets. Our experts enable executives and building management teams to reduce costs, mitigate risk and scale for greater efficiency."
"Aunt Bertha, Inc.",auntbertha.com,2010,11-50,Governance,,"At Aunt Bertha, Inc., we collect all federal, state, county, city, neighborhood, and charity program information and put it in one place. If it's based on need, then we collect it. Using information we learn about programs, and what we learn from the user, we intelligently match people with services that are designed specifically for their situation."
Aureus Sciences (*Now part of Elsevier),http://www.aureus-sciences.com,2000,11-50,Scientific Research,"Health/Healthcare, Science and Research","Aureus Science provides Knowledge Management Systems that are uniquely designed for drug discovery research. Aureus delivers life sciences information solutions that integrate structured knowledge databases with powerful search and insight applications to turn Turn Data into Discovery. 

<p>Aureus Science was acquired by Elsevier in January 2013. Elsevier is a provider of information solutions that enhance the performance of science, health, and technology professionals, empowering them to make better decisions, deliver better care, and sometimes make groundbreaking discoveries. Elsevier provides web-based, digital solutions — among them ScienceDirect, Scopus, Elsevier Research Intelligence, and ClinicalKey —  and publishes nearly 2,200 journals, including The Lancet and Cell, and over 25,000 book titles, including a number of iconic reference works.</p>

The company is part of Reed Elsevier Group PLC, a world leading provider of professional information solutions in the Science, Medical, Legal and Risk and Business sectors"
AutoGrid Systems,http://www.auto-grid.com,2011,11-50,Energy,Weather,"AutoGrid Systems is organizing the world's energy data by bringing Internet scale cloud-computing to process and analyze the petabytes of energy data produced from an increasingly networked and automated grid. AutoGrid then employs big data analytics to generate real-time predictions that creates actionable data for electricity generators, providers, grid operators, and their customers to improve the utilization of the grid and manage the cost to serve."
Avalara,http://www.avalara.com,2004,"501-1,000",Finance & Investment,,"Avalara has created a web-based platform that provides a complete package of automated end to end compliance services. Avalara works within your own financial, billing, ecommerce, or point of sale system to automate sales and use tax and compliance. Once configured, you never again worry about ever-changing, impenetrable rates, rules, boundaries, exemptions, tax holidays, reporting requirements, filing deadlines, etc. Avalara combines technology with available statutory content to deliver fully automated sales tax compliance solutions."
Avvo,http://www.avvo.com,2006,51-200,Business & Legal Services,,"Avvo.com is a legal marketplace for consumers and attorneys. In Avvo's Q&A forum, consumers can get free legal advice 24/7 from more than 160,000 participating lawyers, and Avvo's directory provides comprehensive profiles, client reviews, peer endorsements and the industry-recognized Avvo Rating for more than 97 percent of all lawyers in the U.S. Avvo also helps lawyers grow their business with Avvo Ignite, a cloud-based marketing platform and website solution designed specifically for attorneys."
Ayasdi,http://www.ayasdi.com/,2008,51-200,Data/Technology,Health/Healthcare,"Ayasdi is an enterprise software platform that changes the way the organizations discover, extract and operationalize insights from complex data. Our approach combines advanced machine-learning with Topological Data Analysis (TDA) to automate how data scientists, domain experts, and business people achieve value from their data without the need to write code, queries, or ask questions. Ayasdi’s customers include General Electric, Citigroup, Merck, Anadarko, U.S. Food and Drug Administration (FDA), Centers for Disease Control and Prevention (CDC), the University of California San Francisco (UCSF), and Mount Sinai Hospital."
Azavea,azavea.com,2000,11-50,Geospatial/Mapping,,"Azavea is a certified B Corporation whose mission is to apply geospatial technology for positive civic and social impact while advancing the state-of-the-art through research. 

<p>Azavea was the original developer of the OpenDataPhilly.org community site and has released the source code as Open-Data-Catalog. Azavea is also the Open Data Institute (ODI) regional node for Philadelphia and operates the national Summer of Maps program that matches students with non-profit organizations with geospatial data challenges. Our work combines user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly. We also share much of our work by releasing it under open source licenses so that others can re-use it. These projects include OpenTreeMap, DistrictBuilder, GeoTrellis, and among others.</p>

<p>In addition to using open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others through creative new applications. Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.</p>"
BaleFire Global,http://balefireglobal.com,2014,1-10,Data/Technology,,"BaleFire Global provides training, civic engagement and client success to NGOs and governments around the world. As an Open Data Institute Node we provide open data thought leadership and strategy as well as implementation and custom design. Our goal is to build a citizen experience the leads to transparency and positive economic impact using your open government data."
Barchart,www.barchartmarketdata.com,1995,51-200,Data/Technology,,"Barchart.com is a full-service provider of futures, equity and foreign exchange market data. Barchart provides a wide range of market data products and solutions. As an established organization in an industry that demands accuracy and innovation, Barchart’s goal is to form partnerships that deliver comprehensive solutions for success, and has clients in the financial, agricultural, energy and media industries."
Be Informed,http://www.beinformed.com/BeInformed/website/en?init=true,2006,51-200,Data/Technology,,"Be Informed is an internationally operating, independent software vendor. The Be Informed business process platform transforms administrative processes. Thanks to Be Informed’s unique semantic technology and solutions, business applications become completely model-driven, allowing organizations to instantly execute on new strategies and regulations."
Bekins,http://www.bekins.com,1891,51-200,Transportation,,Bekins offers private and corporate domestic and international household goods relocation services as well as special commodities and logistic services.
Berkery Noyes MandASoft,https://mandasoft.com/,2009,1-10,Finance & Investment,,"MandAsoft.com, provided by Berkery Noves, is an information service that provides mergers and acquisitions data via a hosted and searchable database. It is based on the Berkery Noyes Information Industry Weekly report, a resource for mergers and acquisitions data for many top executives of companies that have been shaping the future of information. Although anyone interested in M&A would find MandAsoft.com to be useful, this service is geared towards a C-level executive who wants to quickly find and review information industry transactions and companies with an eye toward finding a match for their own products and services."
Berkshire Hathaway,http://www.berkshirehathaway.com,1998,"5,001-10,000",Finance & Investment,"Education, Finance","Berkshire Hathaway Inc. is a holding company owning subsidiaries engaged in a number of diverse business activities. The Company is engaged in the insurance businesses conducted on both a primary basis and a reinsurance basis, a freight rail transportation business and a group of utility, and energy generation and distribution businesses. Berkshire also owns and operates a number of other businesses engaged in a variety of activities."
BetterLesson,http://betterlesson.com,2008,11-50,Education,Education,"BetterLesson is focused on aggregating and scaling the content and practices from high-performing teachers across the country. BetterLesson was founded by a group of public schools teachers to connect educators and help them create, organize, and share their curricula."
BillGuard,https://www.billguard.com,2010,11-50,Finance & Investment,,"BillGuard's mission is to use data to save people money. American consumers lose over $14 billion a year to legal grey charges which result from misleading sales and billing practices. We developed advanced crowd-sourcing technology to collect and analyze billing dispute data from millions of consumers in order to extract patterns of fraud and ""Grey Charges"". We use these analytics to monitor our user's credit and debit card statements, alerting them to similar charges on their cards and helping them get their money back."
Bing,http://www.bing.com,2009,"10,001+",Data/Technology,Health/Healthcare,"Bing is a decision (search) engine from Microsoft that combines technology from the Farecast and Powerset acquisitions, as well as new algorithms and a more colorful page design, to attempt to understand the context behind the search, which Microsoft claims gives users better results."
Biovia,http://accelrys.com,2001,NA,Scientific Research,Environment,"Accelrys is a provider of scientific innovation lifecycle management software and services. By bridging the productivity gap between innovation and commercialization, scientific innovation lifecycle management (SILM) streamlines product development, speeds time-to-market and improves competitiveness for science-driven organizations in the pharmaceutical, biotechnology, chemical, energy, aerospace, consumer packaged goods and industrial products industries, as well as in government and academia."
BizVizz,http://bizvizz.com,2011,NA,Governance,,"BizVizz gives ordinary people corporate citizenship metrics by allowing them to see shareable tax data, jobs data, and other financial information hidden in regulatory documents. We collect all the important data by sifting through hundreds of regulatory documents, financial statements, and advocacy reports. A free and open API allows developers to build apps with the data and researchers to easily access the data from one trusted source."
BlackRock,http://www.blackrock.com,1988,"10,001+",Finance & Investment,Finance,"BlackRock offers mutual funds, closed-end funds, managed accounts and alternative investments to individuals, institutions and financial professionals. Our mission is to create a better financial future for our clients."
Bloomberg,http://www.bloomberg.com,1982,"10,001+",Finance & Investment,,"Bloomberg, a global business and financial information and news provider, gives influential decision-makers a critical edge by connecting them to a dynamic network of information, people and ideas. 

<p>The company delivers data, news and analytics through innovative technology, quickly and accurately. This is at the core of the Bloomberg Professional service, which provides real time financial information to subscribers globally.</p> 

<p>Bloomberg’s enterprise solutions leverages technology to allow customers to access, integrate, distribute and manage data and information across organizations more efficiently and effectively. </p>

<p>Bloomberg News, delivered through the Bloomberg Professional service, television, radio, mobile, the Internet and two magazines, Bloomberg Businessweek and Bloomberg Markets, covers the world with more than 2,430 news and multimedia professionals at 146 bureaus in 72 countries.</p>"
Booz Allen Hamilton,http://www.boozallen.com,1914,"10,001+",Research & Consulting,Public Safety,"Booz Allen Hamilton is a strategic management and technology consulting firm offering a full range of consulting services to senior management in industry and government. Our approach to management and technology consulting combines domain expertise with strong capabilities in strategy, and organization, analytics, technology and operations. 

<p>We work with leading organizations focused on improving and advancing our government. Together, we conduct studies, convene experts and stakeholders, and publish reports to proffer ideas that help government leaders take strides forward in achieving their mission. We also work with leading business associations, chambers of commerce, and groups aimed at fostering a better business environment, developing leaders, and facilitating collaborative connections across sectors and markets.</p>"
Boston Consulting Group,http://www.bcg.com,1963,"5,001-10,000",Research & Consulting,,"BCG is a global management consulting firm that identifies opportunities and challenges for clients from the private, public, and nonprofit sectors. BCG's customized approach combines deep insight into the dynamics of companies and markets with close collaboration at all levels of the client organization."
Boundless,www.boundlessgeo.com,2013,11-50,Geospatial/Mapping,,"Boundless supports customers with a variety of solutions including commercial open source maintenance, spatial IT infrastructure, and data management and analysis tools. Our mission is to develop and maintain the best open source software for geospatial applications. Our roots are in the open source community and our team members are actively involved core contributors and steering committee members across many open source geospatial projects. The foundation of our company is based on the knowledge that openness leads to better collaboration, better software and greater innovation."
Bridgewater,http://www.bwater.com,1975,"1,001-5,000",Finance & Investment,"Economics, Finance, Labor","Bridgewater manages approximately $150 billion in global investments for a wide array of institutional clients, including foreign governments and central banks, corporate and public pension funds, university endowments and charitable foundations."
Brightscope,http://www.brightscope.com/,2008,51-200,Finance & Investment,,"BrightScope is a financial information company that brings transparency to opaque markets. Delivered through web-based software, BrightScope data drives better decision-making for individual investors, corporate plan sponsors, asset managers, broker-dealers, and financial advisors. BrightScope primarily operates in two major segments: Retirement Plans and Wealth Management."
BuildFax,http://www.buildfax.com/,2008,11-50,Business & Legal Services,,BuildFax collects and organizes the data that helps companies solve critical property-related problems. The BuildFax U.S. Property History database is a proprietary property intelligence engine and data resource that contains building and permitting information from cities and counties throughout the country.
Buildingeye,http://www.buildingeye.com,2011,1-10,Housing/Real Estate,,"Buildingeye has designed a new web application that geolocates planning application data in cities, from Dublin to Seattle, so that people can see what’s being planned in their area."
BuildZoom,www.buildzoom.com,2010,11-50,Housing/Real Estate,,"<p>BuildZoom collects and analyzes data on the construction industry. Data sources include contractor licensors, building permit authorities, consumer agencies and about 70,000 users.</p>

<p>On BuildZoom, homeowners can view reports on over 3.5 million licensed US contractors; browse over 20m construction and remodeling projects; and freely access our service request application, which algorithmically matches their job to licensed contractors with verified experience and helps them through the hiring process. Contractors can add supplemental information to their record including photos of work they've completed.</p>

<p>BuildZoom recently launched a feature that allows users to visualize local government permit data on a map, allowing them to see projects going on in their neighborhood and the contractors who are doing the work. They will also be launching a dashboard (in beta) that will allow users to visualize macro-economic trends in different regions based on the data.</p>

<p>Some links to our data:</p>

<p><a href=""http://www.buildzoom.com/newsfeed"">http://www.buildzoom.com/newsfeed</a></p>

<p><a href=""http://www.buildzoom.com/charts.php"">http://www.buildzoom.com/charts.php</a></p>"
Business and Legal Resources,http://www.blr.com,1977,51-200,Business & Legal Services,,"Business & Legal Resources helps U.S. businesses simplify compliance with state and federal legal requirements, and we help them become more successful. We do this by offering content and practical tools. Through our in-house editors and attorney network, we provide comprehensive, state-specific information in all 50 states. We offer our businesses of all sizes and industries information products, including training programs, events, web portals, reports and subscription services."
Business Monitor International,www.businessmonitor.com,1984,201-500,Business & Legal Services,,"Business Monitor provides trusted, independent analysis and forecasts on countries, industries and financial markets."
"Calcbench, Inc.",calcbench.com,2012,1-10,Finance & Investment,,"Calcbench is a company that fully harnesses the power of the new, government mandated data standard called XBRL. This gives us a direct line into the SEC's corporate financial data repository. As a result, we are able to provide data with a whole new level of detail, faster, and at a much better value. Our expertise is that we process and store all XBRL filings in a uniquely structured, cloud based data universe. We use advanced computing techniques to identify and correct errors (close to half a million corrections made so far), and increase comparability between companies. We make data available to you within minutes after a filing leaves the CFOs hands."
Cambridge Information Group,http://www.cig.com,1971,11-50,Finance & Investment,,"Cambridge Information Group (CIG) is a family owned management and investment firm, primarily focused on education, research and information services companies. Our investments have largely focused on businesses in the information services and education industry broadly defined. Generally, our investments either support an existing business or launch a new platform. Our primary goal is to expand and grow existing operating companies through strategic acquisitions. CIG concentrates on businesses of any size, location, and technology structure that can leverage our existing platforms."
Cambridge Semantics,http://www.cambridgesemantics.com/home,2007,11-50,Data/Technology,,"Cambridge Semantics provides the Anzo software suite, an open platform for building interactive Unified Information Access solutions and using data from diverse sources. Anzo allows both IT and end users to deal with the increasing need to rapidly discover, understand, combine, and act on data from diverse sources both from within and across organizational boundaries, by rapidly creating solutions that leverage unified access to structured and unstructured data."
CAN Capital,http://www.cancapital.com/,1998,201-500,Finance & Investment,,"CAN Capital (formerly Capital Access Network) is a large, experienced company providing small businesses with access to alternative capital. CAN Capital uses innovative and proprietary risk models combined with daily performance data to evaluate business performance. Its business evaluation model allows it to facilitate capital for entrepreneurs and help them qualify for more money than they could obtain elsewhere. Small businesses in over 650 industries have chosen CAN Capital to obtain easy access to the funding that they need. 

CAN Capital makes capital available to businesses through its subsidiaries: Merchant Cash Advances by CAN Capital Merchant Services, Inc., and business loans through CAN Capital Asset Servicing, Inc. (CCAS). All business loans obtained through CCAS are made by WebBank, a Utah-chartered Industrial Bank, member FDIC."
Canon,http://www.canon.com,1937,"10,001+",Data/Technology,,"Canon is a Japanese multinational corporation specialized in the manufacture of imaging and optical products, including cameras, camcorders, photocopiers, steppers, computer printers and medical equipment. 

<p>Canon scanners offer high-performance features that make converting paper documents easier, such as high-speed precision feeding technology, compact design, high-speed color capability and even flexible configuration options. Canon is working with Captricity to transform government data into a form whereby it can be tagged, shared, secured and mashed up.</p>"
Capital Cube,http://www.capitalcube.com,2010,11-50,Finance & Investment,,"Capital Cube provides company analysis including on-demand fundamental research, portfolio evaluation, and screening tools on over 40000 global equities and ETFs. The web portal empowers your investment ideas through in-depth analysis on a company’s (a) performance relative to its peers, (b) accounting and earnings quality, (c) dividend strength, and (d) likely corporate actions such as dividend changes, share buybacks, and acquisitions. Our stock screener allows you to identify investment ideas using natural business terms and by investing themes e.g. companies likely to increase dividends or those with earnings quality issues. The ETF Analysis tool provides detailed fundamental analysis of ETFs by each risk component."
Cappex,www.cappex.com,2006,51-200,Education,Education,"Cappex offers several solutions to colleges and universities that allow them to reach and connect with students in Cappex communities, and help them yield more enrollments by staying engaged with their applicants. We also help higher education institutions and foundations simplify their scholarship process so they can maximize the impact of the scholarships they award."
Captricity,captricity.com,2011,1-10,Data/Technology,,"Captricity transforms static documents, including handwriting on paper, into actionable data. Our solution is fast, vastly scalable, highly secure and 99%+ accurate. Our mission is to unlock the data that drives the world forward.  For everyone."
CareSet Systems,www.careset.com,2013,1-10,Data/Technology,,"CareSet is a growing group of idea people servicing ACOs, IPAs, and hospitals across the country.  As a sister company to The DocGraph Journal, CareSet responds to many needs across the healthcare spectrum, providing multi-level insights via an innovative data analytics platform, custom reporting, ETL processing, and data mapping."
Careset.com,www.careset.com,2013,1-10,Data/Technology,,"CareSet is a growing group of idea people servicing ACOs, IPAs, and hospitals across the country.  As a sister company to The DocGraph Journal, CareSet responds to many needs across the healthcare spectrum, providing multi-level insights via an innovative data analytics platform, custom reporting, ETL processing, and data mapping. 



"
CARFAX,http://www.carfax.com,1984,"501-1,000",Transportation,Transportation,"CARFAX was started to provide vehicle history information on used cars. CARFAX provides vehicle history information to millions of consumers each year. CARFAX Vehicle History Reports are available on all used cars and light trucks model year 1981 or later. Using the unique 17-character vehicle identification number (VIN), a CARFAX Report is instantly generated from our database of over six billion records."
Caspio,http://www.caspio.com/,2000,51-200,Data/Technology,,"Caspio’s on-demand cloud-based database platform replaces coding with intuitive point-and-click wizards, enabling users to rapidly produce web database components for capturing, publishing and managing data online."
Castle Biosciences,http://www.castlebiosciences.com,2008,1-10,Scientific Research,Health/Healthcare,"Castle Biosciences, Inc. specializes in diagnostic tests for cancers. The company goal is to help advance the care for cancers through objective testing. Our team works with members of the oncology community throughout the discovery, development and utilization of these tests."
CB Insights,http://www.cbinsights.com/,2009,11-50,Finance & Investment,,"CB Insights takes immense amounts of data about private companies, their investors, their acquirers and the emerging industries they compete in to provide forward-looking intelligence on the health of companies, investors, industries and competitor strategy."
Ceiba Solutions,http://www.ceibasolutions.com,2006,51-200,Scientific Research,Health/Healthcare,Ceiba is a products and service company dedicated to unleashing the value of life science and healthcare data while reducing the cost to manage it.
Center for Responsive Politics,www.opensecrets.org,1983,11-50,Research & Consulting,,"As a nonpartisan, independent and nonprofit organisation, the Center for Responsive Politics aims to create a more educated voter, an involved citizenry and a more responsive government."
Cerner,http://www.cerner.com,1979,"10,001+",Healthcare,Health/Healthcare,"Cerner is a major U.S. supplier of health care information technology solutions that optimize clinical and financial outcomes. Cerner offers clients a dedicated focus on health care, an end-to-end solution and service portfolio, and proven market leadership."
